method,layer,accuracy
factor_analysis,-1,0.494140625
factor_analysis,-2,0.49609375
factor_analysis,-3,0.515625
factor_analysis,-4,0.515625
factor_analysis,-5,0.5
factor_analysis,-6,0.509765625
factor_analysis,-7,0.50390625
factor_analysis,-8,0.5
factor_analysis,-9,0.494140625
factor_analysis,-10,0.529296875
factor_analysis,-11,0.5234375
factor_analysis,-12,0.546875
factor_analysis,-13,0.546875
factor_analysis,-14,0.5390625
factor_analysis,-15,0.53125
factor_analysis,-16,0.515625
factor_analysis,-17,0.51171875
factor_analysis,-18,0.5078125
factor_analysis,-19,0.515625
factor_analysis,-20,0.505859375
factor_analysis,-21,0.50390625
factor_analysis,-22,0.51953125
factor_analysis,-23,0.5078125
factor_analysis,-24,0.48046875
factor_analysis,-25,0.490234375
factor_analysis,-26,0.541015625
factor_analysis,-27,0.47265625
factor_analysis,-28,0.46484375
factor_analysis,-29,0.482421875
factor_analysis,-30,0.494140625
factor_analysis,-31,0.505859375
pca,-1,0.482421875
pca,-2,0.48828125
pca,-3,0.50390625
pca,-4,0.509765625
pca,-5,0.5078125
pca,-6,0.515625
pca,-7,0.501953125
pca,-8,0.498046875
pca,-9,0.50390625
pca,-10,0.5234375
pca,-11,0.541015625
pca,-12,0.53515625
pca,-13,0.5390625
pca,-14,0.53125
pca,-15,0.537109375
pca,-16,0.517578125
pca,-17,0.509765625
pca,-18,0.513671875
pca,-19,0.509765625
pca,-20,0.509765625
pca,-21,0.51171875
pca,-22,0.52734375
pca,-23,0.513671875
pca,-24,0.48828125
pca,-25,0.4765625
pca,-26,0.5390625
pca,-27,0.478515625
pca,-28,0.466796875
pca,-29,0.5234375
pca,-30,0.505859375
pca,-31,0.5
