method,layer,accuracy
factor_analysis,-1,0.5078125
factor_analysis,-2,0.5078125
factor_analysis,-3,0.517578125
factor_analysis,-4,0.5234375
factor_analysis,-5,0.513671875
factor_analysis,-6,0.49609375
factor_analysis,-7,0.5
factor_analysis,-8,0.49609375
factor_analysis,-9,0.515625
factor_analysis,-10,0.51171875
factor_analysis,-11,0.505859375
factor_analysis,-12,0.49609375
factor_analysis,-13,0.49609375
factor_analysis,-14,0.4921875
factor_analysis,-15,0.49609375
factor_analysis,-16,0.513671875
factor_analysis,-17,0.5078125
factor_analysis,-18,0.486328125
factor_analysis,-19,0.482421875
factor_analysis,-20,0.4921875
factor_analysis,-21,0.48046875
factor_analysis,-22,0.501953125
factor_analysis,-23,0.48828125
factor_analysis,-24,0.478515625
factor_analysis,-25,0.525390625
factor_analysis,-26,0.46875
factor_analysis,-27,0.529296875
factor_analysis,-28,0.52734375
factor_analysis,-29,0.51953125
factor_analysis,-30,0.515625
factor_analysis,-31,0.498046875
pca,-1,0.4921875
pca,-2,0.5234375
pca,-3,0.517578125
pca,-4,0.52734375
pca,-5,0.5234375
pca,-6,0.517578125
pca,-7,0.51953125
pca,-8,0.517578125
pca,-9,0.521484375
pca,-10,0.513671875
pca,-11,0.505859375
pca,-12,0.5
pca,-13,0.5
pca,-14,0.490234375
pca,-15,0.501953125
pca,-16,0.51171875
pca,-17,0.513671875
pca,-18,0.486328125
pca,-19,0.478515625
pca,-20,0.50390625
pca,-21,0.484375
pca,-22,0.51171875
pca,-23,0.505859375
pca,-24,0.48828125
pca,-25,0.48046875
pca,-26,0.478515625
pca,-27,0.51953125
pca,-28,0.53125
pca,-29,0.5234375
pca,-30,0.513671875
pca,-31,0.501953125
